timestamp;unix_timestamp;session_duration;calm_probability;calm_percentage;focus_probability;focus_percentage;attention_probability;attention_percentage;delta_avg;delta_max;delta_min;delta_std;delta_raw;theta_avg;theta_max;theta_min;theta_std;theta_raw;alpha_avg;alpha_max;alpha_min;alpha_std;alpha_raw;beta_avg;beta_max;beta_min;beta_std;beta_raw;gamma_avg;gamma_max;gamma_min;gamma_std;gamma_raw;device_id;session_name;data_quality;signal_strength
2025-06-13T12:06:35.109813;1749830795.109813;0.012342;;;;;;;0.127594;0.157117;0.112583;0.020877;[0.11258307359367854, 0.15711702822720264, 0.11308068698158649];0.215199;0.248435;0.192254;0.024063;[0.192254220740034, 0.24843512281757507, 0.2049072063789934];0.419479;0.435087;0.407327;0.011593;[0.41602293302644067, 0.43508702686871914, 0.407327228760039];0.325214;0.366277;0.294072;0.030301;[0.29407225598877146, 0.3662768492931502, 0.31529400599393603];0.114818;0.129643;0.096543;0.013732;[0.09654258081019544, 0.11826842207453932, 0.12964316292114442];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.161459;1749830795.161459;0.063988;;;;;;;0.133304;0.158884;0.109628;0.020154;[0.10962771372273321, 0.15888415036760628, 0.131398777927467];0.208965;0.234895;0.185764;0.02015;[0.18576433694686523, 0.23489518133376164, 0.20623470129177615];0.40736;0.434879;0.385593;0.020528;[0.38559272587927673, 0.4348789444549308, 0.40160909037912773];0.32736;0.346652;0.305334;0.016978;[0.3053341709150851, 0.3466519679801502, 0.3300925943765556];0.110075;0.112324;0.108186;0.001708;[0.10818584918078929, 0.11232355267158284, 0.10971697805742525];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.212354;1749830795.212354;0.114883;;;;;;;0.128241;0.168826;0.097987;0.029828;[0.09798714101033527, 0.16882602641889674, 0.11791060421452239];0.211187;0.235855;0.181774;0.022332;[0.18177380292623654, 0.23585471379633186, 0.2159318118907579];0.430417;0.449349;0.413034;0.014866;[0.4130344618095396, 0.44934893167145057, 0.4288683097666782];0.328044;0.36751;0.307262;0.02792;[0.3093598513117547, 0.36750975891157844, 0.30726223985855405];0.112265;0.118851;0.105928;0.005279;[0.11885135779742437, 0.10592810518288956, 0.11201523479104397];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.263448;1749830795.263448;0.165977;;;;;;;0.1267;0.148064;0.11051;0.015762;[0.11051020058448383, 0.14806407981949815, 0.12152623049087787];0.232958;0.24733;0.215641;0.013103;[0.2156410052035198, 0.2473295270017013, 0.23590496644101602];0.414294;0.440633;0.384586;0.023005;[0.38458617608722534, 0.4406326229580518, 0.41766279857935673];0.314679;0.331373;0.289888;0.017878;[0.28988791392886526, 0.33137321191873625, 0.3227766151531903];0.114543;0.116501;0.112404;0.001677;[0.1147236272702891, 0.11240443074995027, 0.11650149165258378];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.365551;1749830795.365551;0.26808;;;;;;;0.116813;0.135778;0.090623;0.019129;[0.09062303494650488, 0.13577818443482198, 0.1240375889531326];0.219921;0.234193;0.212128;0.010106;[0.21212780348421334, 0.23419327683739116, 0.21344339295377082];0.421157;0.447104;0.401962;0.019038;[0.4019617303013182, 0.44710402660143567, 0.4144048727813543];0.326634;0.352924;0.294846;0.024027;[0.2948464134485165, 0.35292402201018697, 0.3321309782461933];0.099704;0.10428;0.091109;0.006081;[0.10428029829835352, 0.10372113161660015, 0.09110936592158517];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.416929;1749830795.416929;0.319458;;;;;;;0.127562;0.134502;0.114514;0.009233;[0.11451385488853717, 0.13450156060747143, 0.13367197312640933];0.224128;0.243481;0.207264;0.01489;[0.20726422110707987, 0.24348141338448842, 0.22163868123569844];0.429524;0.451524;0.403338;0.019893;[0.40333834591382217, 0.451524094797847, 0.43370914821832124];0.329046;0.363381;0.302976;0.025343;[0.30297613831520487, 0.36338077875357, 0.3207814707404007];0.106678;0.113267;0.097068;0.00695;[0.10969783443798495, 0.11326729613821361, 0.0970676426580913];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.519033;1749830795.519033;0.421562;;;;;;;0.122446;0.145961;0.082804;0.028193;[0.08280423510351985, 0.14596072067681692, 0.13857328999451732];0.22319;0.253174;0.203049;0.021615;[0.21334605042045468, 0.25317355620156484, 0.20304936085775444];0.416914;0.446735;0.396725;0.021523;[0.39672475826377623, 0.44673475845073196, 0.4072820472436];0.321598;0.362737;0.285185;0.031836;[0.2851846420497827, 0.3627368314269242, 0.31687134599212746];0.106014;0.13007;0.086661;0.018031;[0.08666100743847362, 0.13006961966226896, 0.10131057512941163];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.519916;1749830795.519916;0.422445;;;;;;;0.119377;0.13467;0.090493;0.020436;[0.09049281944025221, 0.1329669214232708, 0.1346703332894145];0.213759;0.231118;0.202856;0.012408;[0.2073036882621675, 0.23111818032949982, 0.20285575058651165];0.41236;0.430745;0.39798;0.013672;[0.39798047482683474, 0.43074455362997244, 0.4083548754930051];0.320702;0.338529;0.293452;0.019572;[0.2934519268577757, 0.330124267629216, 0.3385289875983077];0.118893;0.13307;0.093982;0.017671;[0.09398216606838353, 0.1330700114351559, 0.12962735332218855];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.621999;1749830795.621999;0.524528;;;;;;;0.120764;0.13658;0.089206;0.022315;[0.08920558039298404, 0.13650786559037936, 0.13657976712840536];0.209208;0.246977;0.18042;0.027904;[0.18041986103621627, 0.24697694717532345, 0.20022727079410038];0.425412;0.441558;0.410186;0.012824;[0.4101856957444353, 0.44155816978249046, 0.42449354418646756];0.331371;0.351165;0.305452;0.019158;[0.30545192787957, 0.351165218559003, 0.3374963177121156];0.098584;0.119125;0.084265;0.014896;[0.08426549154814604, 0.1191249282204889, 0.0923618059026799];;neurosity_session_20250613_120635;excellent;excellent
2025-06-13T12:06:35.726652;1749830795.726652;0.629181;;;;;;;0.119663;0.14367;0.107623;0.016976;[0.107623214554922, 0.14367026238047229, 0.10769623228836657];0.215889;0.232197;0.188962;0.019181;[0.1889620051091725, 0.23219677670679653, 0.22650847705118204];0.4257;0.463393;0.3911;0.029594;[0.3910997848088873, 0.4633927801541127, 0.42260768763553735];0.334387;0.351048;0.317274;0.013792;[0.31727419753169417, 0.35104750236377824, 0.33484008728737596];0.12202;0.124646;0.119387;0.002147;[0.11938700949955725, 0.12464609728607655, 0.12202601773356535];;neurosity_session_20250613_120635;excellent;excellent
